danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,time_signature,emotion
0.622,0.503,5,-6.724,0,0.201,0.282,0,0.112,0.314,136.048,21WvAGxPUNJARcZoSqswd7,4,sad
0.852,0.73,1,-5.803,1,0.0579,0.0219,0,0.336,0.394,92.506,7f1zjZG77S891Uv4O68yfk,4,sad
0.846,0.527,2,-5.229,0,0.111,0.424,0,0.11,0.404,98.067,4TNbaUX5szRSr1O5ffM1mq,4,sad
0.837,0.636,1,-7.643,1,0.086,0.0395,0.00125,0.342,0.274,145.972,2t8yVaLvJ0RenpXUIAC52d,4,sad
0.638,0.4,11,-11.212,0,0.0425,0.733,0.000133,0.334,0.495,150.133,2mYDDUkBcgFNBqkWctyyuc,4,sad
0.836,0.544,7,-5.975,1,0.0943,0.0403,0,0.0824,0.51,97.028,76cy1WJvNGJTj78UqeA5zr,4,sad
0.816,0.726,5,-3.998,0,0.129,0.099,0,0.372,0.65,136.048,58q2HKrzhC3ozto2nDdN4z,4,sad
0.699,0.439,1,-7.629,1,0.0622,0.361,0,0.13,0.225,85.068,25O6zT0CzMvURRA6E0jUQu,4,sad
0.76,0.763,1,-2.964,1,0.0787,0.0467,0,0.198,0.321,140.044,11cCVYamncF0ezwjj1irQ0,4,sad
0.847,0.723,10,-4.436,1,0.196,0.0148,0,0.125,0.367,110.024,5l8A3iI1abu4cpE9fxcczM,4,sad
0.583,0.301,11,-12.693,0,0.0391,0.815,0.000232,0.0799,0.176,67.448,2VlLbhGLVJgdOW7kKdWWFc,4,sad
0.585,0.313,2,-12.132,0,0.207,0.806,0.223,0.118,0.501,77.016,74GRNaQj1fNWAjKGv5wstB,3,sad
0.78,0.784,1,-5.039,1,0.186,0.0447,0,0.122,0.43,85.023,4MofYf0f4ijlVV6elUW5S3,4,sad
0.253,0.617,11,-7.118,0,0.0678,0.105,0.00155,0.156,0.288,169.036,5K9cE052Gcrf4yCYPWWS8a,4,sad
0.445,0.455,1,-8.927,0,0.0564,0.171,0,0.117,0.243,109.988,0SjI6eZTjcpbXACDHhjBom,4,sad
0.534,0.583,2,-8.672,1,0.0288,0.0262,0,0.421,0.145,105.997,0S0vWvyZ6Rc79TXkWxT9QA,4,sad
0.637,0.861,1,-3.781,1,0.325,0.0464,0,0.247,0.382,173.838,2c5Isyd07hWsl7AQia2Dig,4,sad
0.719,0.825,5,-3.627,0,0.0424,0.689,0,0.103,0.789,100.006,0LQ1J0BCzA2qnAgp9MkkNE,4,sad
0.736,0.604,1,-7.357,0,0.222,0.0652,6.43e-05,0.124,0.574,155.007,4DTpngLjoHj5gFxEZFeD3J,4,sad
0.437,0.268,0,-14.363,1,0.0362,0.707,0.132,0.107,0.0395,148.051,7zTNJo2Li25pRvbRqtmBJY,4,sad
0.654,0.564,6,-7.186,1,0.235,0.304,0,0.107,0.451,86.948,5FXOEdfNW7nYQrBWtW49Cl,4,sad
0.489,0.598,1,-4.929,1,0.036,0.218,0,0.35,0.172,134.045,1gm616Plq4ScqNi7TVkZ5N,3,sad
